TimestepsSoFar,EpisodesSoFar,loss_ent,TimeElapsed,loss_pol_surr,EpThisIter,EpLenMean,loss_kl,EpRewMean,loss_vf_loss,ev_tdlam_before,loss_pol_entpen
1200128,1708,0.87913656,2033.6634528636932,-0.024814885,4,833.85,0.0067272177,1.19,0.01838006,0.8536895513534546,0.0
1204224,1712,0.9160395,2038.8059809207916,-0.02639037,4,847.28,0.008334442,1.09,0.01967649,0.8595484495162964,0.0
1208320,1716,0.89349407,2043.3708028793335,-0.024916701,4,852.56,0.00771917,1.0,0.01995147,0.7894335836172104,0.0
1212416,1720,0.8955382,2047.8513360023499,-0.027729027,4,863.86,0.008920519,0.95,0.025918894,0.7626760452985764,0.0
1216512,1724,0.8498432,2052.1799120903015,-0.026743734,4,866.95,0.0073173773,0.96,0.02568748,0.7310953438282013,0.0
1220608,1728,0.8639814,2056.764089822769,-0.025986405,4,866.92,0.0072366633,0.96,0.0223462,0.7718171179294586,0.0
1224704,1732,0.8556836,2061.3220999240875,-0.0273585,4,876.01,0.008990176,0.99,0.015105169,0.7585235238075256,0.0
1228800,1736,0.939539,2065.976910829544,-0.028398966,4,886.12,0.009067392,0.94,0.016749509,0.8272671550512314,0.0
1232896,1740,0.895921,2070.661870956421,-0.024928601,4,886.33,0.008151204,0.9,0.018368402,0.8305844813585281,0.0
1236992,1744,0.9286331,2075.2334611415863,-0.028577076,4,895.64,0.009077583,0.94,0.018422967,0.8390146940946579,0.0
