total_timesteps,value_loss,nupdates,explained_variance,fps,policy_entropy,ep_reward_mean,ep_len_mean
695500,0.0007690823404118419,139100,0.12464356422424316,788,2.0725791454315186,-4.86,611.02
696000,0.00010913530422840267,139200,0.9339773207902908,788,2.0610947608947754,-4.86,612.06
696500,9.570745169185102e-05,139300,0.4906412363052368,788,2.0190589427948,-4.86,614.69
697000,1.6266636521322653e-05,139400,0.8203510195016861,789,2.0566458702087402,-4.86,614.69
697500,0.0008238512091338634,139500,-18.023191452026367,789,2.058331251144409,-4.87,614.24
698000,5.651669198414311e-05,139600,0.8340896666049957,789,2.0717175006866455,-4.87,613.77
698500,0.07064785808324814,139700,-944.6947021484375,790,2.069514513015747,-4.87,612.57
699000,0.00026357267051935196,139800,0.16060376167297363,790,2.0598416328430176,-4.86,612.53
699500,0.0005219017621129751,139900,0.7493692934513092,790,2.0616354942321777,-4.86,612.74
700000,0.00015589843678753823,140000,-0.20798563957214355,790,2.039534091949463,-4.86,608.48
700500,0.0003397265973035246,140100,0.6482847929000854,791,2.0203731060028076,-4.86,609.16
701000,0.00025272605125792325,140200,0.27524781227111816,791,2.059784412384033,-4.86,609.16
701500,0.0001528329012217,140300,0.4648445248603821,791,2.066530704498291,-4.86,611.62
702000,0.044458914548158646,140400,-1071.787353515625,792,2.068694829940796,-4.86,609.54
702500,0.00031023743213154376,140500,0.007731139659881592,792,2.065338134765625,-4.86,610.8
703000,0.001019065035507083,140600,-8.898838996887207,792,2.067195415496826,-4.86,612.54
703500,0.0004523404350038618,140700,0.9953250037506223,793,2.049063205718994,-4.87,611.88
704000,0.00022421432367991656,140800,0.850434422492981,793,2.031071424484253,-4.87,611.88
704500,0.02711401879787445,140900,0.8949553519487381,793,2.0669631958007812,-4.87,611.62
705000,2.9085820642649196e-05,141000,0.863783061504364,794,2.062727689743042,-4.87,612.63
705500,0.0003005976905114949,141100,-1.2044093608856201,794,2.068183660507202,-4.86,613.31
706000,0.00012248994607944041,141200,-2.1071226596832275,794,2.074063777923584,-4.86,613.31
706500,0.0002652059483807534,141300,0.6344583928585052,794,2.051027297973633,-4.86,612.35
707000,0.00029581086710095406,141400,0.840420201420784,795,1.880981683731079,-4.86,612.61
707500,0.00029891429585404694,141500,0.4436458945274353,795,2.0656931400299072,-4.86,612.35
708000,9.646044054534286e-05,141600,-0.17294573783874512,795,2.0600810050964355,-4.86,613.52
708500,0.001098559470847249,141700,0.991763005964458,796,2.0449516773223877,-4.85,616.02
709000,3.729142918018624e-05,141800,0.7063235640525818,796,2.0036423206329346,-4.85,616.02
709500,0.00015314712072722614,141900,0.4919641613960266,796,2.048003911972046,-4.85,615.87
710000,0.0005219760350883007,142000,0.7147170603275299,797,2.0033135414123535,-4.85,613.44
710500,6.673661118838936e-05,142100,-1.5892159938812256,797,2.037419080734253,-4.85,613.59
711000,0.00012411012721713632,142200,-0.5634816884994507,797,2.06938099861145,-4.85,613.59
711500,0.00015760728274472058,142300,0.6442137956619263,798,2.070777654647827,-4.85,617.56
712000,0.13667277991771698,142400,0.4302738904953003,798,2.0535640716552734,-4.85,616.15
712500,1.6727997262933059e-06,142500,0.9877647701650858,798,2.062178134918213,-4.86,614.58
713000,0.0011530829360708594,142600,-0.46685171127319336,798,2.070833206176758,-4.86,611.71
713500,4.9639631470199674e-05,142700,0.9033868983387947,799,2.0725760459899902,-4.86,610.08
714000,0.00023458657960873097,142800,0.7165746092796326,799,2.0739874839782715,-4.86,610.44
714500,4.358068326837383e-05,142900,0.9186004176735878,799,2.0756938457489014,-4.86,609.18
715000,0.00018738424114417285,143000,-0.243019700050354,800,2.06177020072937,-4.86,608.95
715500,0.00035747248330153525,143100,-2.8769874572753906,800,2.071784257888794,-4.86,608.84
716000,0.00011779094347730279,143200,0.280670702457428,800,2.0238254070281982,-4.86,608.84
716500,1.7077023585443385e-05,143300,0.3625866770744324,801,2.0406763553619385,-4.86,606.78
717000,0.00021092375391162932,143400,-0.40374112129211426,801,2.054196834564209,-4.86,606.55
717500,9.248227434e-05,143500,0.3048022389411926,801,2.066016435623169,-4.86,605.13
718000,0.00012353072816040367,143600,0.5214134752750397,802,2.0663132667541504,-4.86,603.86
718500,0.0005321140633895993,143700,0.6717913746833801,802,2.071882963180542,-4.86,605.22
719000,5.318666808307171e-05,143800,0.6730172336101532,802,2.0509161949157715,-4.86,605.22
719500,0.0002243773778900504,143900,0.28965961933135986,802,2.075740337371826,-4.86,605.39
720000,0.0002609585353638977,144000,0.6514488458633423,803,2.0108578205108643,-4.86,603.67
720500,2.7792488253908232e-05,144100,0.7130811214447021,803,2.0750460624694824,-4.86,604.07
721000,7.334157271543518e-05,144200,-2.023825168609619,803,2.0661239624023438,-4.86,602.69
721500,4.660181002691388e-05,144300,0.8076334446668625,804,2.063664197921753,-4.86,602.69
722000,0.0006946080829948187,144400,-0.5728753805160522,804,2.078136920928955,-4.87,603.65
722500,0.0014580636052414775,144500,-2.6487488746643066,804,2.076115369796753,-4.87,604.55
723000,0.004614046309143305,144600,-31.96746826171875,805,2.045213222503662,-4.87,601.72
723500,0.000744965102057904,144700,-0.284201979637146,805,2.055893659591675,-4.87,599.63
724000,4.365850327303633e-05,144800,-0.012943029403686523,805,2.0503973960876465,-4.87,598.52
724500,7.163387635955587e-05,144900,0.48893868923187256,805,2.0362560749053955,-4.87,597.46
725000,5.112280632602051e-05,145000,0.6772208213806152,806,2.0059571266174316,-4.87,597.06
725500,3.593494329834357e-05,145100,0.12949806451797485,806,2.0762436389923096,-4.88,595.82
726000,0.0003784528817050159,145200,-0.13093531131744385,806,2.0486741065979004,-4.88,595.64
726500,9.033201786223799e-05,145300,0.4757971167564392,807,2.0447652339935303,-4.88,595.64
